Group.1,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,PeakCallsInOut,OffPeakCallsInOut,MonthsInService,AgeHH1,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,IncomeGroup,PrizmCode,Occupation
1,96.8,"1,119.2",61.1,104.4,2.7,-520.0,-40.7,186.5,159.8,16.9,41.9,0.3,0.3,0.0,0.0,3.7,3.0,6.9
2,79.9,910.4,58.2,67.8,1.6,187.5,15.1,144.1,117.6,17.9,42.1,0.3,0.3,0.0,0.0,3.8,3.0,6.8
3,118.3,"1,670.4",74.4,130.4,2.6,167.3,13.3,249.4,221.7,17.7,41.5,0.2,0.2,0.0,0.0,3.5,3.0,7.0
4,57.3,495.8,48.1,32.6,1.2,-47.0,-4.1,91.9,61.8,18.1,42.4,0.3,0.4,0.0,0.1,4.3,2.9,6.6
5,36.6,148.3,35.9,6.8,0.6,2.0,0.0,31.0,17.1,19.7,44.6,0.4,0.5,0.0,0.1,4.9,2.7,6.1
6,217.5,"2,823.0",104.4,371.9,8.0,-208.4,-26.4,474.1,383.2,19.6,41.2,0.2,0.3,0.0,0.0,3.5,3.1,7.2
